tranaction_Id,transaction_date,district,complete_year,transaction_type,num_building,num_land,num_garage,garage_status,garage_label,total_floor_number,building_state,main_building_materials,land_shifting_total_area,building_shifting_total_area,main_building_area,subsidiary_building_area,balcony_area,num_room,num_bathroom,compartment,management_org,carpark_type,carpark_shifting_area,carpark_total_price,elevator,total_ntd,unit_ntd
21598,12/23/20,Xinyi District,2005,Land+Building,1,3,0,0,No,11,Apartment_11storeyorgreater,Reinforced Concrete,8.81,62.64,40.62,0,1.52,2,1,1,1,No carpark,0,0,1,21800000,348020
21599,12/21/20,Nangang District,2014,Land+Building+Garage,1,1,1,1,Yes,10,Apartment_5to10storey,Reinforced Concrete,14.82,92.08,46.89,1.69,6.24,1,1,1,1,Tower,12.5,0,1,20100000,218288
21600,12/20/20,Xinyi District,2007,Land+Building,1,1,0,0,No,14,Apartment_11storeyorgreater,Reinforced Concrete,6.97,91.67,46.42,3.19,8.68,3,2,1,1,No carpark,0,0,1,22880000,249591
21601,12/6/20,Nangang District,1983,Land+Building,1,1,0,0,No,5,Apartment_5storey,Reinforced Concrete,27.46,101.27,82.11,0,10.13,3,2,1,0,No carpark,0,0,0,15920000,157204
21602,12/29/20,Xinyi District,1971,Land+Building,1,4,0,0,No,4,Apartment_5storey,Reinforced Concrete,29,69.5,69.5,0,0,3,1,1,0,No carpark,0,0,0,10950000,157554
21603,10/31/20,Songshan District,1988,Land+Building,1,3,0,0,No,18,Apartment_11storeyorgreater,Reinforced Concrete,15.69,142.97,101.36,0,13.42,3,2,1,1,No carpark,0,0,1,40500000,283276
21604,11/15/20,Nangang District,1990,Land+Building,1,1,0,0,No,8,NULL,Reinforced Concrete,77.82,341.82,261.14,1.85,32.26,0,1,1,1,No carpark,0,0,0,41680000,121936
21605,12/6/20,Songshan District,1983,Land+Building,1,1,0,0,No,16,Apartment_11storeyorgreater,Reinforced Concrete,11.81,129.73,96.58,0,8.26,3,2,1,1,No carpark,0,0,1,26180000,201804
21606,12/10/20,Songshan District,1983,Land+Building+Garage,1,1,1,1,Yes,16,Apartment_11storeyorgreater,Reinforced Concrete,18.7,203.58,126.26,0,10.82,4,2,1,1,Ramp Plane,0,0,1,37800000,185676
21607,12/23/20,Shilin District,1977,Land+Building+Garage,1,4,3,1,Yes,8,Apartment_5to10storey,Reinforced Concrete,36.95,285.37,249.27,0,21.89,4,2,1,1,Ramp Plane,114.93,0,1,12400000,43452
21608,12/16/20,Shilin District,1987,Land+Building,1,1,0,0,No,5,Apartment_5storey,Reinforced Concrete,41,112.98,92.97,0,10.49,3,2,1,0,No carpark,0,0,0,22380000,198088
21609,11/9/20,Beitou District,2014,Land+Building+Garage,1,1,3,1,Yes,14,Apartment_11storeyorgreater,Reinforced Concrete,39.11,332,132.33,11.67,13.54,3,2,1,1,Ramp Plane,96.15,7200000,1,44180000,156795
21610,12/12/20,Shilin District,1985,Land+Building,1,1,0,0,No,5,Apartment_5storey,Reinforced Concrete,30.5,117.33,95.88,0,11.57,3,2,1,0,No carpark,0,0,0,17030000,145146
21611,11/27/20,Shilin District,1983,Land+Building,1,1,0,0,No,5,Apartment_5storey,Reinforced Concrete,18.04,83.58,62.12,0,9,3,2,1,0,No carpark,0,0,0,9000000,107681
21612,12/17/20,Beitou District,2005,Land+Building,2,2,0,0,No,13,Apartment_11storeyorgreater,Reinforced Concrete,13.08,68.88,38.85,1.13,0,1,1,1,1,No carpark,0,0,1,9880000,143438
21613,12/30/20,Shilin District,2015,Land+Building,1,2,0,0,No,8,Apartment_5to10storey,Reinforced Concrete,11.22,48.34,27.18,2.2,2.04,1,1,1,1,No carpark,0,0,1,12850000,265825
